strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;numTasks_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbTotalCosts_P;dbTraveledDistance_P;numTasks_PR1;dblExecutionTime_PR1;iTotServiced_PR1;iTotUnserviced_PR1;iNumVehiclesUsed_PR1;dbTimeWinViolation_PR1;dbOperationTime_PR1;dbTotalCosts_PR1;dbTraveledDistance_PR1;numTasks_PR2;dblExecutionTime_PR2;iTotServiced_PR2;iTotUnserviced_PR2;iNumVehiclesUsed_PR2;dbTimeWinViolation_PR2;dbOperationTime_PR2;dbTotalCosts_PR2;dbTraveledDistance_PR2;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbAbsExecTimeDiff_PR1;dbPerExecTimeDiff_PR1;dbAbsSrvcdTasksDiff_PR1;dbPerSrvcdTasksDiff_PR1;dbAbsExecTimeDiff_PR2;dbPerExecTimeDiff_PR2;dbAbsSrvcdTasksDiff_PR2;dbPerSrvcdTasksDiff_PR2;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
25/05/2018 19.04.05;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_0.xml;a7fa9a73;10;32,0;31,394058344800836;100;9,357;84;16;10;0,0;5284,303282331916;921,3995630402812;354,3844473231851;98;10,484;84;14;10;0,0;5262,744025444233;889,4259028376205;370,5941261823419;98;7,732;84;14;10;0,0;5223,1903827358465;893,5409237286849;372,30871822028536;98;6,601;84;14;10;0,0;5259,201840511524;925,9496955787548;385,8123731578145;1,1270000000000007;1204,445869402587;0,0;0,0;-1,6249999999999991;-17,366677353852722;0,0;0,0;-2,7559999999999993;-29,45388479213423;0,0;0,0;0,88;0,86;86,0;8600,0;14,0;1400,0
25/05/2018 19.04.30;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_1.xml;b27d0a35;10;32,0;31,801424209165695;100;7,875;88;12;10;0,0;5374,286284253049;840,4841183339515;382,0382356063416;93;5,65;88;5;10;0,0;5299,0095175082915;533,7517298725605;355,834486581707;93;5,781;87;6;10;0,0;5360,934867886537;592,5942542811126;370,3714089256954;93;5,518;87;6;10;0,0;5331,029514355173;553,6472229682774;346,0295143551734;-2,2249999999999996;-2825,396825396825;0,0;0,0;-2,0940000000000003;-26,590476190476192;-1,0;-1,1363636363636365;-2,357;-29,930158730158734;-1,0;-1,1363636363636365;0,8462672811059907;0,87;87,0;8700,0;13,0;1300,0
25/05/2018 19.04.48;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_10.xml;25d8921f;10;30,32888748986792;31,62094815472628;100;7,104;84;16;10;0,0;5326,784622478712;853,1113311261291;328,1197427408189;85;4,405;85;0;10;0,0;5350,683334745474;327,90204482123505;327,90204482123505;85;4,664;81;4;10;0,0;5288,645899067815;439,5209241639957;313,9435172599969;85;4,533;82;3;10;0,0;5327,653472599966;407,16014591214133;313,2001122401087;-2,699;-3799,268018018018;1,0;119,04761904761905;-2,4400000000000004;-34,34684684684685;-3,0;-3,571428571428571;-2,5709999999999997;-36,19087837837837;-2,0;-2,380952380952381;0,7846274509803921;0,79;79,0;7900,0;21,0;2100,0
25/05/2018 19.05.02;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_11.xml;db350a1e;10;30,696989590218674;32,0;100;6,851;85;15;10;0,0;5250,709606082428;943,4896087622317;377,39584350489264;96;6,315;85;11;10;0,0;5275,734700137204;738,7044722720054;351,76403441524064;96;6,26;84;12;10;0,0;5246,409573355935;792,2261854254596;360,10281155702705;96;6,412;84;12;10;0,0;5242,655836832599;745,1313024159624;338,6960465527102;-0,5359999999999996;-782,3675375857533;0,0;0,0;-0,5910000000000002;-8,626477886439938;-1,0;-1,1764705882352942;-0,43900000000000006;-6,407823675375858;-1,0;-1,1764705882352942;0,85625;0,87;87,0;8700,0;13,0;1300,0
25/05/2018 19.05.22;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_12.xml;1f5b3330;10;32,0;32,0;100;6,549;85;15;10;0,0;5380,317454280874;917,9863101530856;367,19452406123423;87;4,893;85;2;10;0,0;5293,481778958224;433,97015686320447;361,6417973860037;87;5,126;82;5;10;0,0;5275,324632071568;583,1744555368277;388,7829703578851;87;4,875;82;5;10;0,0;5320,715310318295;572,4353140918962;381,6235427279308;-1,6560000000000006;-2528,6303252404955;0,0;0,0;-1,423;-21,728508169186135;-3,0;-3,5294117647058822;-1,6740000000000004;-25,561154374713702;-3,0;-3,5294117647058822;0,7886825817860301;0,8;80,0;8000,0;20,0;2000,0
25/05/2018 19.05.37;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_13.xml;c3ab3cd7;10;31,487221029545065;32,0;100;7,096;86;14;10;0,0;5278,548431764582;891,9015877215843;371,62566155066014;88;4,725;87;1;10;0,0;5255,711056460218;410,0855190014427;372,80501727403885;88;5,055;82;6;10;0,0;5224,936688557607;628,6987016921742;392,9366885576089;88;4,978;83;5;10;0,0;5246,878204334593;603,743585187346;402,4957234582306;-2,3710000000000004;-3341,319052987599;1,0;116,27906976744187;-2,0410000000000004;-28,76268320180384;-4,0;-4,651162790697675;-2,1180000000000003;-29,847801578354005;-3,0;-3,488372093023256;0,8303787878787878;0,84;84,0;8400,0;16,0;1600,0
25/05/2018 19.05.52;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_14.xml;9576a2bf;10;21,09727463502458;30,834551182876677;100;6,623;88;12;10;0,0;5297,661436797198;844,0551609538375;383,66143679719886;94;5,807;86;8;10;0,0;5198,65656241097;663,5818123397478;368,656562410971;94;6,017;86;8;10;0,0;5245,398812715881;605,5178628885842;336,3988127158801;94;5,871;86;8;10;0,0;5256,466531347089;662,9180642439532;368,28781346886285;-0,8159999999999998;-1232,070058885701;-2,0;-227,27272727272728;-0,6059999999999999;-9,149932054959987;-2,0;-2,272727272727273;-0,7519999999999998;-11,35437113090744;-2,0;-2,272727272727273;0,7970212765957447;0,84;84,0;8400,0;16,0;1600,0
25/05/2018 19.06.10;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_15.xml;7f5b1224;10;32,0;31,839224502065857;100;6,913;84;16;10;0,0;5330,527226526065;861,6240467434906;331,39386413211173;88;4,905;85;3;10;0,0;5370,74512560528;478,1788062422056;367,8298509555428;88;5,266;82;6;10;0,0;5345,305721775145;624,4891548402309;390,3057217751443;88;5,377;81;7;10;0,0;5346,706991339983;605,8077443364035;356,35749666847266;-2,008;-2904,672356429914;1,0;119,04761904761905;-1,6470000000000002;-23,82467814262983;-2,0;-2,380952380952381;-1,5360000000000005;-22,21900766671489;-3,0;-3,571428571428571;0,8245454545454546;0,84;84,0;8400,0;16,0;1600,0
25/05/2018 19.06.26;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_16.xml;6d1370aa;10;28,98730911803156;28,920649712099426;100;6,895;87;13;10;0,0;5213,980194121026;665,4879991028756;289,34260830559805;89;5,233;87;2;10;0,0;5210,2158745387715;332,72287470099945;277,26906225083286;89;5,318;84;5;10;0,0;5179,124284841142;474,2861805059692;316,19078700397944;89;5,204;85;4;10;0,0;5238,214451604709;448,154224868586;320,1101606204186;-1,662;-2410,442349528644;0,0;0,0;-1,577;-22,871646120377083;-3,0;-3,4482758620689653;-1,6909999999999998;-24,525018129079044;-2,0;-2,2988505747126435;0,9156690500510725;0,92;92,0;9200,0;8,0;800,0
25/05/2018 19.06.42;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_17.xml;9339887e;10;27,253863383011858;26,577617783287874;100;6,781;91;9;10;0,0;5312,774608472587;579,610190163379;305,057994822831;95;6,112;91;4;10;0,0;5267,292569709236;424,6095975929297;303,29256970923547;95;6,243;90;5;10;0,0;5238,531492914804;507,7972393722065;338,5314929148043;95;6,77;89;6;10;0,0;5276,337665981855;502,71094331544487;314,194339572153;-0,6689999999999996;-986,5801504202915;0,0;0,0;-0,5379999999999994;-7,9339330482229675;-1,0;-1,098901098901099;-0,01100000000000012;-0,16221796195251617;-2,0;-2,197802197802198;0,8789473684210526;0,9;90,0;9000,0;10,0;1000,0
25/05/2018 19.07.02;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_18.xml;d8aa20e7;10;32,0;28,921222605507417;100;6,677;91;9;10;0,0;5335,546383582623;683,1381288069842;359,54638358262326;92;6,355;92;0;10;0,0;5323,314165611235;320,31416561123564;320,31416561123564;92;5,778;91;1;10;0,0;5328,676046020393;392,3296570840293;356,6633246218448;92;5,746;90;2;10;0,0;5399,194964163857;444,0608223144946;370,05068526207884;-0,3219999999999992;-482,25250861165074;1,0;109,8901098901099;-0,899;-13,464130597573762;0,0;0,0;-0,9309999999999992;-13,943387748989055;-1,0;-1,098901098901099;0,8632608695652173;0,87;87,0;8700,0;13,0;1300,0
25/05/2018 19.07.20;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_3.xml;bfc1dd61;10;26,161583256509715;32,0;100;7,187;87;13;10;0,0;5205,058598576499;713,6200442076985;310,26958443812975;92;6,156;87;5;10;0,0;5224,009631196013;517,2449653503703;344,82997690024683;92;6,156;84;8;10;0,0;5217,619525398549;522,8630045918724;290,47944699548464;92;5,812;84;8;10;0,0;5199,162021453808;608,365405897965;337,980781054425;-1,0310000000000006;-1434,5345763183534;0,0;0,0;-1,0310000000000006;-14,345345763183534;-3,0;-3,4482758620689653;-1,375;-19,131765688047864;-3,0;-3,4482758620689653;0,8755978260869565;0,89;89,0;8900,0;11,0;1100,0
25/05/2018 19.07.39;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_4.xml;2786b770;10;25,94497085932505;30,237695846409256;100;7,071;88;12;10;0,0;5403,762107498263;608,2047939955016;276,4567245434098;94;6,11;88;6;10;0,0;5422,375295147158;437,47284610570995;273,4205288160687;94;6,296;87;7;10;0,0;5395,777436945016;457,0118655638488;268,83050915520516;94;6,113;87;7;10;0,0;5443,812220228255;520,6079079907877;306,2399458769339;-0,9609999999999994;-1359,0722670060802;0,0;0,0;-0,7749999999999995;-10,96026021779097;-1,0;-1,1363636363636365;-0,9579999999999993;-13,548295856314516;-1,0;-1,1363636363636365;0,8263829787234042;0,86;86,0;8600,0;14,0;1400,0
25/05/2018 19.07.58;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_5.xml;d5ff9044;10;30,93389246361786;30,837573623109925;100;7,112;87;13;10;0,0;5377,478781214554;921,4671211487225;400,6378787603141;96;6,037;87;9;10;0,0;5316,697221787028;780,4929788289917;410,7857783310482;96;6,012;86;10;10;0,0;5360,063544599701;823,6687254871076;411,8343627435538;96;6,532;86;10;10;0,0;5384,137865567594;855,7984541145549;427,89922705727747;-1,0750000000000002;-1511,5298087739034;0,0;0,0;-1,1000000000000005;-15,466816647919018;-1,0;-1,1494252873563218;-0,5800000000000001;-8,15523059617548;-1,0;-1,1494252873563218;0,876875;0,89;89,0;8900,0;11,0;1100,0
25/05/2018 19.08.17;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_6.xml;39c35cb;10;19,130039079967517;28,480655804651285;100;6,967;84;16;10;0,0;5339,839467664386;788,611948994632;303,3122880748585;93;5,859;84;9;10;0,0;5359,858251791466;541,6669570249044;285,08787211837074;93;5,654;83;10;10;0,0;5357,281046862954;700,1918909377293;350,09594546886467;93;5,614;83;10;10;0,0;5389,4016457935395;568,3416495382735;284,17082476913674;-1,1079999999999997;-1590,3545284914594;0,0;0,0;-1,3129999999999997;-18,845988230228215;-1,0;-1,1904761904761905;-1,3529999999999998;-19,420123439069897;-1,0;-1,1904761904761905;0,8230414746543778;0,85;85,0;8500,0;15,0;1500,0
25/05/2018 19.08.35;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_7.xml;c68845b8;10;30,107894085895452;31,409027984792846;100;7,065;86;14;10;0,0;5313,196895426805;659,2008678495695;274,66702827065393;92;5,47;88;4;10;0,0;5330,834326580529;373,93322419398874;267,09516013856336;92;5,424;86;6;10;0,0;5298,550235992567;433,8034028451426;271,1271267782141;92;5,616;85;7;10;0,0;5269,466609449289;428,14857006711804;251,8521000394812;-1,5950000000000006;-2257,6079263977363;2,0;232,55813953488374;-1,641;-23,227176220806793;0,0;0,0;-1,4490000000000007;-20,5095541401274;-1,0;-1,1627906976744187;0,8365217391304347;0,86;86,0;8600,0;14,0;1400,0
25/05/2018 19.08.52;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_8.xml;9e776a84;10;30,469753829034474;26,35645454210632;100;7,185;90;10;10;0,0;5337,044794748668;763,5463738946696;381,7731869473348;95;5,854;90;5;10;0,0;5360,813223276069;530,796754342758;353,86450289517205;95;6,031;90;5;10;0,0;5319,532101553345;510,80939649610025;340,53959766406683;95;5,633;90;5;10;0,0;5309,615877116083;513,4906159471252;342,32707729808345;-1,3309999999999995;-1852,4704244954762;0,0;0,0;-1,154;-16,061238691718856;0,0;0,0;-1,5519999999999996;-21,600556715379255;0,0;0,0;0,8936842105263157;0,91;91,0;9100,0;9,0;900,0
25/05/2018 19.09.10;25/05/2018;output/C_Batch10_100_d01/CG8_100_10_9.xml;aaa37763;10;32,0;32,0;100;7,543;83;17;10;0,0;5265,833330525769;1085,2506438955272;401,94468292426933;90;5,42;84;6;10;0,0;5306,27653543875;571,7029333808741;357,3143333630463;90;5,461;82;8;10;0,0;5246,417789535162;669,0657515676949;371,703195315386;90;5,556;80;10;10;0,0;5239,7148482814255;678,8835629369028;339,4417814684514;-2,123;-2814,5300278403824;1,0;120,48192771084338;-2,082;-27,601749966856687;-1,0;-1,2048192771084338;-1,987;-26,342304123027976;-3,0;-3,614457831325301;0,778111111111111;0,81;81,0;8100,0;19,0;1900,0
