strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbServiceTime_UP;dbWaitingTime_UP;dbTransportTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbServiceTime_P;dbWaitingTime_P;dbTransportTime_P;dbTotalCosts_P;dbTraveledDistance_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
28/05/2018 23.11.02;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_0.xml;b36a2351;10;24,466650762371287;25,36511869040552;24;100;0,16113451575823506;2;9,109;90;10;10;0,0;5387,755034622884;5079,0;39,253327570608576;269,50170705227447;539,0034141045478;269,5017070522739;94;0,15146644481274096;2;8,005;91;3;10;0,0;5427,931533160297;5067,0;33,80684458128263;327,1246885790145;425,26209515271887;327,1246885790145;-1,1039999999999992;-12,119881435942466;1,0;1,1111111111111112;0,8304964539007094;0,86;86,0;86,0;14,0;14,0
28/05/2018 23.11.24;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_1.xml;61b5312;10;19,33911778765684;29,921892642637694;24;100;0,17281215305054176;2;8,5;83;17;10;0,0;5162,326877790861;4878,0;0,0;284,3268777908622;767,6825700353271;284,3268777908619;92;0,15898718080649843;2;6,146;83;9;10;0,0;5152,140893963417;4830,0;2,2736649335369066;319,8672290298804;607,7477351567729;319,8672290298805;-2,354;-27,694117647058825;0,0;0,0;0,8582608695652173;0,87;87,0;87,0;13,0;13,0
28/05/2018 23.11.43;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_11.xml;3ea9b2c3;10;32,0;32,0;24;100;0,09765625;2;7,163;84;16;10;0,0;5216,654083627335;4901,0;6,285737880990496;309,36834574634486;804,3576989404953;309,36834574634435;93;0,0908203125;2;6,218;84;9;10;0,0;5226,779493780809;4908,0;1,0619428560526103;317,71755092475644;603,6633467570371;317,7175509247563;-0,9450000000000003;-13,192796314393416;0,0;0,0;0,8230414746543778;0,85;85,0;85,0;15,0;15,0
28/05/2018 23.12.05;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_12.xml;53a83e4e;10;31,84744165052363;29,577767956838716;24;100;0,10615979028236505;2;7,453;84;16;10;0,0;5276,861710538091;5016,0;6,99061332125757;253,87109721683288;660,0648527637666;253,87109721683328;90;0,09554381125412854;2;5,86;84;6;10;0,0;5226,9376691963735;4975,0;25,04794689475159;226,8897223016221;363,02355568259543;226,88972230162216;-1,593;-21,3739433785053;0,0;0,0;0,792;0,82;82,0;82,0;18,0;18,0
28/05/2018 23.12.22;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_13.xml;279f1aca;10;32,0;18,089143279087946;24;100;0,1727555557378261;2;7,386;88;12;10;0,0;5317,419205738178;4965,0;28,40143875150727;324,0177669866705;712,8390873706755;324,01776698667067;96;0,16584533350831307;2;6,331;88;8;10;0,0;5370,4257435744;5021,0;2,641349968831605;346,7843936055681;624,2119084900221;346,7843936055678;-1,0549999999999997;-14,283780124559975;0,0;0,0;0,9266666666666665;0,92;92,0;92,0;8,0;8,0
28/05/2018 23.12.43;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_14.xml;32d727a6;10;22,169494190076954;31,736084229763726;24;100;0,14213167538551813;2;7,311;86;14;10;0,0;5204,816963826436;4800,0;56,68393127428823;348,1330325521474;835,5192781251521;348,13303255214674;90;0,12791850784696632;2;5,53;85;5;10;0,0;5183,714456499793;4818,0;21,254327053164673;344,4601294466282;516,6901941699422;344,4601294466281;-1,7809999999999997;-24,36055259198468;-1,0;-1,1627906976744187;0,7497777777777778;0,78;78,0;78,0;22,0;22,0
28/05/2018 23.13.00;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_16.xml;756b64f6;10;29,25373783240882;32,0;24;100;0,10682395589591842;2;7,493;87;13;10;0,0;5335,189100498577;4959,0;6,612485350059842;369,57661514851804;850,0262148415918;369,57661514851816;94;0,10041451854216332;2;6,374;88;6;10;0,0;5350,4786899380715;4958,0;0,0;392,478689938071;627,9659039009142;392,4786899380714;-1,1190000000000007;-14,933938342452965;1,0;1,1494252873563218;0,8424468085106382;0,87;87,0;87,0;13,0;13,0
28/05/2018 23.13.20;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_18.xml;c931727d;10;32,0;32,0;24;100;0,09765625;2;7,145;83;17;10;0,0;5339,4497272188055;4904,0;26,002553049641733;409,447174169164;1105,5073702567406;409,44717416916313;95;0,0927734375;2;7,344;83;12;10;0,0;5289,304539292874;4863,0;26,55606837833693;399,7484709145368;879,4466360119816;399,74847091453705;0,19900000000000073;2,785164450664811;0,0;0,0;0,8096842105263158;0,84;84,0;84,0;16,0;16,0
28/05/2018 23.13.41;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_2.xml;311e0f09;10;29,05607808759382;32,0;24;100;0,10755064708248745;2;7,511;86;14;10;0,0;5222,286992537094;4854,0;15,101959137303993;353,1850333997902;847,6440801594956;353,18503339978986;97;0,10432412767001283;2;6,567;86;11;10;0,0;5213,961405957822;4849,0;18,28628606617866;346,67511989164313;728,0177517724512;346,6751198916434;-0,944;-12,568233257888428;0,0;0,0;0,7358762886597938;0,83;83,0;83,0;17,0;17,0
28/05/2018 23.14.02;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_5.xml;ece66569;10;28,10337862655576;31,215321478811397;24;100;0,11399181102728989;2;7,241;84;16;10;0,0;5285,322879268689;4933,0;0,36485615734426347;351,95802311134406;915,090860089495;351,95802311134423;90;0,1025926299245609;2;5,541;82;8;10;0,0;5223,088789598804;4870,0;16,779028628097876;336,3097609707062;605,3575697472711;336,3097609707062;-1,6999999999999993;-23,47742024582239;-2,0;-2,380952380952381;0,792;0,82;82,0;82,0;18,0;18,0
28/05/2018 23.14.19;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_6.xml;3fd3cc78;10;18,60237361002077;32,0;24;100;0,1679893149934704;2;7,043;88;12;10;0,0;5391,015731151107;4995,0;4,016907654763372;391,9988234963431;862,3974116919549;391,9988234963431;93;0,15623006294392747;2;5,753;88;5;10;0,0;5407,9334136627795;5023,0;39,40073827490443;345,53267538787503;518,2990130818125;345,53267538787503;-1,29;-18,316058497799233;0,0;0,0;0,8728725038402457;0,89;89,0;89,0;11,0;11,0
28/05/2018 23.14.36;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_7.xml;2a136f4f;10;25,749830898390737;31,136125605062254;24;100;0,1247271641364643;2;7,188;83;17;10;0,0;5058,459740714781;4707,0;25,230287824479547;326,2294528903027;880,8195228038177;326,2294528903028;99;0,12347989249509966;2;6,972;83;16;10;0,0;5053,682483113194;4694,0;23,98708369647568;335,6953994167186;872,8080384834672;335,69539941671815;-0,2159999999999993;-3,0050083472453992;0,0;0,0;0,6874747474747476;0,82;82,0;82,0;18,0;18,0
28/05/2018 23.14.58;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_8.xml;acbd422d;10;32,0;27,75241586225767;24;100;0,11260280962602223;2;6,941;89;11;10;0,0;5202,315737135959;4812,0;33,16958888984209;357,14614824611726;750,0069113168477;357,14614824611795;90;0,10134252866342;2;5,67;88;2;10;0,0;5310,8479030716335;4894,0;53,51127488101662;363,33662819061675;436,0039538287399;363,3366281906166;-1,271;-18,311482495317676;-1,0;-1,1235955056179776;0,8230000000000001;0,83;83,0;83,0;17,0;17,0
28/05/2018 23.15.15;28/05/2018;output/C_Batch10_100_d01/CG8_100_10_9.xml;f69cc6ff;10;32,0;32,0;24;100;0,09765625;2;7,155;87;13;10;0,0;5346,665232782909;5015,0;20,29616927503281;311,3690635078762;716,1488460681157;311,3690635078764;92;0,08984375;2;5,546;86;6;10;0,0;5350,45907346348;4985,0;43,55489170831868;321,90418175516186;515,0466908082575;321,90418175516095;-1,609;-22,48777078965758;-1,0;-1,1494252873563218;0,8241847826086957;0,85;85,0;85,0;15,0;15,0
28/05/2018 23.15.33;28/05/2018;output/C_Batch10_100_d01/CG8_101_10_4.xml;74c791e1;10;26,42401316923801;31,148622068679924;24;101;0,12271107401970567;2;7,416;83;18;10;0,0;5157,433647390176;4736,0;46,411103315846844;375,02254407432827;1050,0631234081197;375,02254407432844;94;0,11420634611734982;2;6,085;85;9;10;0,0;5167,6173648922995;4768,0;30,16627014010686;369,451094752192;701,9570800291646;369,45109475219186;-1,3310000000000004;-17,947680690399142;2,0;2,4096385542168677;0,835429895573144;0,8514851485148515;86,0;85,14851485148515;15,0;14,851485148514852
28/05/2018 23.15.52;28/05/2018;output/C_Batch10_100_d01/CG8_102_10_17.xml;27d6f15d;10;30,709666425331914;32,0;24;102;0,10379468001549773;2;7,371;84;18;10;0,0;5274,112858790759;4854,0;29,081358644209786;391,03150014655046;1094,8882004103434;391,0315001465512;97;0,09870670550493411;2;6,46;85;12;10;0,0;5264,2415172262645;4858,0;10,598929198388873;395,6425880278757;870,4136936613274;395,6425880278761;-0,9110000000000005;-12,359245692579032;1,0;1,1904761904761905;0,8458459672528806;0,8529411764705882;87,0;85,29411764705883;15,0;14,705882352941176
28/05/2018 23.16.12;28/05/2018;output/C_Batch10_100_d01/CG8_102_10_3.xml;7c30818a;10;32,0;32,0;24;102;0,099609375;2;7,229;87;15;10;0,0;5386,413889995706;5035,0;3,3800283325286955;348,0338616631774;870,0846541579432;348,0338616631773;85;0,0830078125;2;4,509;85;0;10;0,0;5138,470973589071;4818,0;0,0;320,47097358907075;320,4709735890701;320,4709735890701;-2,7199999999999998;-37,62622769401023;-2,0;-2,2988505747126435;0,8519031141868512;0,8431372549019608;86,0;84,31372549019608;16,0;15,686274509803921
28/05/2018 23.16.26;28/05/2018;output/C_Batch10_100_d01/CG8_103_10_15.xml;5c6a38cb;10;30,937383302155006;26,857946439923438;24;103;0,12395979324227004;2;7,639;89;14;10;0,0;5334,359209440639;5088,0;15,149023139677467;231,21018630096245;554,9044471223101;231,21018630096256;91;0,10951787558297645;2;5,343;89;2;10;0,0;5210,204066780613;4960,0;7,168392624205694;243,03567415640725;291,642808987689;243,0356741564075;-2,2960000000000003;-30,05629009032596;0,0;0,0;0,8144315231693873;0,8252427184466019;85,0;82,52427184466019;18,0;17,475728155339805
28/05/2018 23.16.43;28/05/2018;output/C_Batch10_100_d01/CG8_115_10_19.xml;ad696d2b;10;30,19287887615531;30,637196908258783;24;115;0,12432094073087747;2;9,73;93;22;10;0,0;5446,385907463051;5135,0;12,763099471840974;298,6228079912097;955,5929855718696;298,62280799120924;114;0,1232398890723481;2;9,706;93;21;10;0,0;5443,807276653921;5140,0;13,432948118583681;290,3743285353373;900,1604184595453;290,3743285353372;-0,02400000000000091;-0,24665981500514808;0,0;0,0;0,8510297482837528;0,8173913043478261;94,0;81,73913043478261;21,0;18,26086956521739
