strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;numTasks_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbTotalCosts_P;dbTraveledDistance_P;numTasks_PR1;dblExecutionTime_PR1;iTotServiced_PR1;iTotUnserviced_PR1;iNumVehiclesUsed_PR1;dbTimeWinViolation_PR1;dbOperationTime_PR1;dbTotalCosts_PR1;dbTraveledDistance_PR1;numTasks_PR2;dblExecutionTime_PR2;iTotServiced_PR2;iTotUnserviced_PR2;iNumVehiclesUsed_PR2;dbTimeWinViolation_PR2;dbOperationTime_PR2;dbTotalCosts_PR2;dbTraveledDistance_PR2;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbAbsExecTimeDiff_PR1;dbPerExecTimeDiff_PR1;dbAbsSrvcdTasksDiff_PR1;dbPerSrvcdTasksDiff_PR1;dbAbsExecTimeDiff_PR2;dbPerExecTimeDiff_PR2;dbAbsSrvcdTasksDiff_PR2;dbPerSrvcdTasksDiff_PR2;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
11/05/2018 19.45.01;11/05/2018;output/Batch10_100_d01/DS_100_10_0.xml;eafff333;10;31,951369774979927;31,85631995925733;100;8,656;85;15;10;0,0;5285,722480700629;1050,943829614443;420,37753184577724;98;6,812;86;12;10;0,0;5292,030674099427;873,8813806682206;397,2188093946457;98;6,535;85;13;10;0,0;5291,851489258398;1034,5139060883444;449,78865482101924;98;6,628;85;13;10;0,0;5304,342115767688;991,2943832802371;430,9975579479292;-1,8440000000000003;-0,21303142329020336;1,0;0,011764705882352941;-2,1210000000000004;-0,2450323475046211;0,0;0,0;-2,0280000000000005;-0,23428835489833646;0,0;0,0;0,8284693877551019;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.45.29;11/05/2018;output/Batch10_100_d01/DS_100_10_1.xml;cb8d5090;10;31,070356529168144;31,983216725489218;100;6,92;82;18;10;0,0;5308,124517743124;1019,7091865072861;364,18185232403073;95;5,907;83;12;10;0,0;5296,552437743308;980,2652834614269;445,5751288461031;95;6,211;80;15;10;0,0;5272,0686468022095;881,2895413129502;352,51581652518;95;6,005;82;13;10;0,0;5314,565435606881;983,9726621315674;427,8142009267684;-1,013;-0,1463872832369942;1,0;0,012195121951219513;-0,7089999999999996;-0,10245664739884387;-2,0;-0,024390243902439025;-0,915;-0,13222543352601157;0,0;0,0;0,7538947368421053;0,81;81,0;81,0;19,0;19,0
11/05/2018 19.45.55;11/05/2018;output/Batch10_100_d01/DS_100_10_10.xml;7f37e4f2;10;31,293536634329495;31,72742271902143;100;6,907;87;13;10;0,0;5315,388168525412;818,841292914075;356,01795344090215;96;6,469;87;9;10;0,0;5412,158527680091;767,8830874957616;404,1489934188219;96;6,26;87;9;10;0,0;5421,168599372944;668,3124615714562;351,7434008270822;96;5,975;87;9;10;0,0;5411,098927158223;768,5526185617332;404,5013781903859;-0,4379999999999997;-0,06341392789923263;0,0;0,0;-0,6470000000000002;-0,09367308527580719;0,0;0,0;-0,9320000000000004;-0,1349355726074997;0,0;0,0;0,7521875;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.46.21;11/05/2018;output/Batch10_100_d01/DS_100_10_11.xml;7597f1a8;10;31,962591706335104;31,81746387270159;100;6,673;90;10;10;0,0;5308,028193859313;770,3931943280934;385,1965971640467;100;6,543;90;10;10;0,0;5306,467118258284;815,6811885040042;407,84059425200206;100;7,014;89;11;10;0,0;5343,390477792491;940,9744686944099;448,08308033067135;100;6,393;90;10;10;0,0;5293,61013012789;812,4662294797322;406,23311473986604;-0,1299999999999999;-0,01948149258204704;0,0;0,0;0,3410000000000002;0,05110145361906192;-1,0;-0,011111111111111112;-0,28000000000000025;-0,041960137869024465;0,0;0,0;0,7921;0,89;89,0;89,0;11,0;11,0
11/05/2018 19.46.48;11/05/2018;output/Batch10_100_d01/DS_100_10_12.xml;ebc9585c;10;31,092967994713607;31,853027503346464;100;6,928;83;17;10;0,0;5160,503889979274;1081,0403754748027;400,38532424992684;97;6,346;83;14;10;0,0;5184,74104380474;975,5296910777571;406,4707046157321;97;6,226;83;14;10;0,0;5162,384008402278;996,7315039010998;415,3047932921249;97;6,417;82;15;10;0,0;5155,401044758864;1004,5740858640879;401,82963434563516;-0,5819999999999999;-0,0840069284064665;0,0;0,0;-0,702;-0,10132794457274827;0,0;0,0;-0,5110000000000001;-0,07375866050808316;-1,0;-0,012048192771084338;0,7634364261168385;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.47.15;11/05/2018;output/Batch10_100_d01/DS_100_10_13.xml;39021df5;10;31,451076125215984;31,75706403008925;100;6,874;88;12;10;0,0;5274,228796834327;909,838010090258;413,56273185920816;97;6,236;89;8;10;0,0;5324,485685309829;758,5427977044385;421,4126653913547;97;6,422;88;9;10;0,0;5260,461059879792;798,750143615893;420,3948124294173;97;6,281;87;10;10;0,0;5279,555794836718;888,0749741690094;444,0374870845047;-0,6379999999999999;-0,0928135001454757;1,0;0,011363636363636364;-0,45199999999999996;-0,06575501891184173;0,0;0,0;-0,593;-0,08626709339540296;-1,0;-0,011363636363636364;0,8202061855670102;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.47.41;11/05/2018;output/Batch10_100_d01/DS_100_10_14.xml;182057c8;10;31,671749442348588;31,742769298062296;100;6,815;79;21;10;0,0;5258,049576900752;1221,148654851279;393,91892091976734;99;6,683;79;20;10;0,0;5236,067042845401;1305,0143763979513;435,00479213265044;99;6,513;78;21;10;0,0;5231,62528925438;1173,6261804402652;378,58909046460167;99;6,484;78;21;10;0,0;5309,877278735026;1274,5492408321647;411,14491639747246;-0,13200000000000056;-0,019369038884812995;0,0;0,0;-0,3020000000000005;-0,04431401320616295;-1,0;-0,012658227848101266;-0,3310000000000004;-0,0485693323550991;-1,0;-0,012658227848101266;0,8345454545454545;0,79;79,0;79,0;21,0;21,0
11/05/2018 19.48.08;11/05/2018;output/Batch10_100_d01/DS_100_10_15.xml;7fc416c8;10;31,390003479844776;31,57282537777907;100;6,653;89;11;10;0,0;5317,039057138289;949,5390055077802;452,16143119418103;100;6,718;89;11;10;0,0;5340,337670850244;944,1902618688061;449,61441041371717;100;6,683;88;12;10;0,0;5299,640107657293;954,3075159082495;433,77614359465883;100;6,623;89;11;10;0,0;5316,586438236531;897,2649260485155;427,269012404055;0,06500000000000039;0,009770028558545077;0,0;0,0;0,03000000000000025;0,004509243950097738;-1,0;-0,011235955056179775;-0,02999999999999936;-0,004509243950097604;0,0;0,0;0,7921;0,89;89,0;89,0;11,0;11,0
11/05/2018 19.48.36;11/05/2018;output/Batch10_100_d01/DS_100_10_16.xml;eaf9126b;10;31,98213886454318;31,77440638990915;100;6,982;84;16;10;0,0;5131,8814029737405;979,6460171976265;376,7869296913948;99;6,537;84;15;10;0,0;5119,062491254957;903,8202649474046;361,5281059789618;99;6,194;85;14;10;0,0;5214,719737437041;993,1691062971415;413,8204609571423;99;6,518;85;14;10;0,0;5212,979300040615;950,9890818935429;396,2454507889762;-0,4450000000000003;-0,06373531939272419;0,0;0,0;-0,7880000000000003;-0,11286164422801492;1,0;0,011904761904761904;-0,4640000000000004;-0,06645660269263827;1,0;0,011904761904761904;0,8658585858585859;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.49.03;11/05/2018;output/Batch10_100_d01/DS_100_10_17.xml;77294d44;10;31,225941576780915;31,943499280298802;100;7,227;77;23;10;0,0;5175,992198533238;1178,962174717095;357,26126506578635;100;6,77;78;22;10;0,0;5172,655332665508;1259,8658767342176;393,70808647944295;100;7,037;78;22;10;0,0;5177,585072370692;1207,3913981976086;377,3098119367527;100;6,905;78;22;10;0,0;5175,863864610782;1133,2202863437426;354,13133948241955;-0,45700000000000074;-0,06323509063235101;1,0;0,012987012987012988;-0,1900000000000004;-0,026290300262903056;1,0;0,012987012987012988;-0,32200000000000006;-0,04455514044555141;1,0;0,012987012987012988;0,6084;0,78;78,0;78,0;22,0;22,0
11/05/2018 19.49.31;11/05/2018;output/Batch10_100_d01/DS_100_10_18.xml;2cbcc4d5;10;31,978681660884526;31,17325840349233;100;6,6;83;17;10;0,0;5319,514568284159;1037,929024802791;384,41815733436704;98;6,328;82;16;10;0,0;5305,849997796844;826,2647380169071;317,7941300065027;98;6,382;84;14;10;0,0;5396,018564646315;1053,897608704123;439,12400362671787;98;6,394;82;16;10;0,0;5372,174095176451;1060,019581642155;407,6998390931365;-0,27199999999999935;-0,04121212121212112;-1,0;-0,012048192771084338;-0,21799999999999997;-0,03303030303030303;1,0;0,012048192771084338;-0,20599999999999952;-0,03121212121212114;-1,0;-0,012048192771084338;0,7794897959183673;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.49.58;11/05/2018;output/Batch10_100_d01/DS_100_10_19.xml;bce58534;10;31,820475489841574;31,03575428347888;100;7,006;86;14;10;0,0;5208,9206109851375;976,6094663643287;406,920610985137;97;6,444;85;12;10;0,0;5196,3196011475375;854,3732023747812;388,35145562490055;97;6,082;84;13;10;0,0;5124,770153467925;898,7713529762266;390,77015346792456;97;6,227;86;11;10;0,0;5179,050083240193;909,4051748044064;433,0500832401935;-0,5620000000000003;-0,08021695689409082;-1,0;-0,011627906976744186;-0,9240000000000004;-0,13188695403939485;-2,0;-0,023255813953488372;-0,7789999999999999;-0,11119040822152439;0,0;0,0;0,7773195876288659;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.50.24;11/05/2018;output/Batch10_100_d01/DS_100_10_2.xml;641d8b9a;10;31,737118332318776;31,37493134877286;100;7,172;77;23;10;0,0;5153,993039777479;1108,7075528533053;335,9719857131228;96;6,407;77;19;10;0,0;5190,699653013198;1018,2629791204877;351,1251652139613;96;6,281;75;21;10;0,0;5117,078667110488;1199,943868042515;387,0786671104887;96;6,201;77;19;10;0,0;5123,138155613295;1028,1474853294535;354,533615630846;-0,7649999999999997;-0,10666480758505294;0,0;0,0;-0,891;-0,12423312883435583;-2,0;-0,025974025974025976;-0,9710000000000001;-0,1353876185164529;0,0;0,0;0,8476041666666667;0,81;81,0;81,0;19,0;19,0
11/05/2018 19.50.51;11/05/2018;output/Batch10_100_d01/DS_100_10_20.xml;56cb0a3c;10;31,94605398072548;31,820989415289443;100;6,874;85;15;10;0,0;5336,125454845052;950,3136371126305;380,1254548450522;96;6,055;86;10;10;0,0;5354,82075328606;679,6415065721172;339,8207532860586;96;6,221;84;12;10;0,0;5317,207194961929;775,1301847336595;352,33190215166337;96;5,984;86;10;10;0,0;5351,641061199347;753,7035017855465;376,8517508927732;-0,819;-0,11914460285132383;1,0;0,011764705882352941;-0,6529999999999996;-0,09499563572883322;-1,0;-0,011764705882352941;-0,8899999999999997;-0,12947337794588298;1,0;0,011764705882352941;0,85625;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.51.16;11/05/2018;output/Batch10_100_d01/DS_100_10_21.xml;6bac0333;10;31,99354323720471;31,337530926909412;100;6,796;84;16;10;0,0;5284,736426548221;1078,1347099973705;414,6671961528348;94;6,035;83;11;10;0,0;5247,35485842461;780,3837778857325;371,6113228027297;94;5,939;81;13;10;0,0;5254,988421724007;853,7191028157392;371,1822186155388;94;6,022;82;12;10;0,0;5265,379986966738;891,7357853710951;405,3344478959523;-0,7610000000000001;-0,11197763390229548;-1,0;-0,011904761904761904;-0,8570000000000002;-0,12610359034726312;-3,0;-0,03571428571428571;-0,774;-0,1138905238375515;-2,0;-0,023809523809523808;0,8394326241134753;0,86;86,0;86,0;14,0;14,0
11/05/2018 19.51.42;11/05/2018;output/Batch10_100_d01/DS_100_10_22.xml;8209fe2a;10;31,850867355682677;31,97927417106295;100;7,17;82;18;10;0,0;5255,319752769239;1082,502591223324;386,6080682940443;100;6,755;83;17;10;0,0;5256,481050172875;1132,1766712759475;419,3246930651657;100;6,84;84;16;10;0,0;5289,935745421765;1059,3117254714327;407,4275867197818;100;7,061;83;17;10;0,0;5273,842424521206;1120,075431578572;414,84275243650814;-0,41500000000000004;-0,057880055788005584;1,0;0,012195121951219513;-0,33000000000000007;-0,04602510460251047;2,0;0,024390243902439025;-0,10899999999999999;-0,01520223152022315;1,0;0,012195121951219513;0,6889;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.52.10;11/05/2018;output/Batch10_100_d01/DS_100_10_23.xml;4a042b2d;10;31,83108962241526;31,93542197073875;100;6,898;82;18;10;0,0;5077,033473340562;1023,4944421462328;365,53372933794026;95;6,154;81;14;10;0,0;5029,374848966136;766,7640787396645;319,4850328081935;95;5,892;80;15;10;0,0;5030,161198454125;969,3683477901911;387,7473391160765;95;5,964;80;15;10;0,0;5084,578436252621;973,0246917864692;389,20987671458766;-0,7439999999999998;-0,1078573499565091;-1,0;-0,012195121951219513;-1,0059999999999993;-0,1458393737315163;-2,0;-0,024390243902439025;-0,9339999999999993;-0,13540156567120895;-2,0;-0,024390243902439025;0,8341052631578947;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.52.36;11/05/2018;output/Batch10_100_d01/DS_100_10_24.xml;dcba830a;10;31,195230672424827;31,588746123062144;100;6,949;86;14;10;0,0;5387,096196778224;1065,2144458462335;443,8393524359306;99;6,56;87;12;10;0,0;5373,708904339988;924,5952245452798;420,27055661149086;99;6,426;88;11;10;0,0;5413,301383201677;927,7843647969278;441,8020784747275;99;6,54;87;12;10;0,0;5389,305151813863;871,0935341593297;395,95160643605897;-0,38900000000000023;-0,05597927759389844;1,0;0,011627906976744186;-0,5229999999999997;-0,07526262771621811;2,0;0,023255813953488372;-0,4089999999999998;-0,058857389552453565;1,0;0,011627906976744186;0,8945454545454545;0,88;88,0;88,0;12,0;12,0
11/05/2018 19.53.03;11/05/2018;output/Batch10_100_d01/DS_100_10_25.xml;5a79359;10;31,950808260849072;31,88089026680242;100;6,97;87;13;10;0,0;5341,947959060997;1101,9626206154076;479,1141828762642;98;6,604;86;12;10;0,0;5291,686534942286;923,464210471934;419,7564593054245;98;6,394;87;11;10;0,0;5315,910962931147;875,9431936752844;417,1158065120402;98;6,469;87;11;10;0,0;5338,876680391504;862,8295234753573;410,87120165493207;-0,36599999999999966;-0,05251076040172162;-1,0;-0,011494252873563218;-0,5759999999999996;-0,08263988522238158;0,0;0,0;-0,5009999999999994;-0,07187948350071728;0,0;0,0;0,7722448979591836;0,86;86,0;86,0;14,0;14,0
