numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServiced;iTotUnserviced;dbTraveledDistance;dbTotalCosts;dbTimeWinViolation;iNumVehiclesUsed;dbOperationTime;dbTransportTime;dbServiceTime;dbWaitingTime
4;50;500,0;500,0;2,0E-4;2;1,914;24;18;32;904,3873776233632;3798,4269860181257;0,0;4;1970,068736027356;904,3873776233632;1051,0;14,681358403992476
4;50;500,0;500,0;2,0E-4;2;1,044;24;18;32;1094,846091557216;4598,353584540308;0,0;4;2105,846091557216;1094,846091557216;1011,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,693;24;8;42;1737,9345695052025;9037,259761427053;0,0;4;2115,569423845839;1737,934569505202;375,0;2,634854340636707
4;50;500,0;500,0;2,0E-4;2;0,704;24;19;31;692,5352245113397;2839,394420496493;0,0;4;1908,888097063073;692,5352245113401;1216,0;0,35287255173284393
4;50;500,0;500,0;2,0E-4;2;0,651;24;15;35;1157,8784782437917;5210,453152097063;0,0;4;2006,9668241403315;1157,8784782437915;809,0;40,08834589653986
4;50;500,0;500,0;2,0E-4;2;0,68;24;17;33;1010,3498538911573;4344,504371731977;0,0;4;2012,49387839779;1010,3498538911571;986,0;16,144024506632945
4;50;500,0;500,0;2,0E-4;2;0,663;24;17;33;1181,3205117663076;5079,678200595123;0,0;4;2233,3221734095896;1181,3205117663078;999,0;53,00166164328141
4;50;500,0;500,0;2,0E-4;2;0,685;24;13;37;1620,7207411352574;7617,38748333571;0,0;4;2257,316265656943;1620,7207411352576;621,0;15,595524521685547
4;50;500,0;500,0;2,0E-4;2;0,787;24;21;29;689,7702526299486;2690,1039852567997;0,0;4;2058,581002717121;689,7702526299482;1274,0;94,810750087173
4;50;500,0;500,0;2,0E-4;2;0,602;24;11;39;1284,3333548653854;6293,23343884039;0,0;4;1964,5465591276657;1284,3333548653854;598,0;82,21320426227999
4;50;500,0;500,0;2,0E-4;2;0,595;24;12;38;1354,1974272675457;6500,147650884219;0,0;4;1974,861236037316;1354,197427267546;609,0;11,663808769770185
4;50;500,0;500,0;2,0E-4;2;0,62;24;16;34;1064,003291967793;4681,61448465829;0,0;4;2120,520698535874;1064,0032919677933;986,0;70,51740656808079
4;50;500,0;500,0;2,0E-4;2;0,67;24;16;34;930,1121110493823;4092,4932886172824;0,0;4;1859,1121110493827;930,1121110493826;929,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,436;24;9;41;1362,0913949052497;6946,666114016774;0,0;4;1976,0913949052494;1362,0913949052494;614,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,7;24;20;30;895,3863085494274;3581,5452341977098;0,0;4;2119,725401384739;895,3863085494277;1121,0;103,33909283531125
