strTimeStampDay;strInstanceName;strDSType;numClusters;AttributeSelectedClassifier.strClassifierName;AttributeSelectedClassifier.lTimeForTraining;AttributeSelectedClassifier.dbPrecision;AttributeSelectedClassifier.dbRecall;AttributeSelectedClassifier.dbAccuracy;AttributeSelectedClassifier.dbConfMatrix[0][0];AttributeSelectedClassifier.dbConfMatrix[0][1];AttributeSelectedClassifier.dbConfMatrix[1][0];AttributeSelectedClassifier.dbConfMatrix[1][1];NaiveBayes.strClassifierName;NaiveBayes.lTimeForTraining;NaiveBayes.dbPrecision;NaiveBayes.dbRecall;NaiveBayes.dbAccuracy;NaiveBayes.dbConfMatrix[0][0];NaiveBayes.dbConfMatrix[0][1];NaiveBayes.dbConfMatrix[1][0];NaiveBayes.dbConfMatrix[1][1];RandomForest.strClassifierName;RandomForest.lTimeForTraining;RandomForest.dbPrecision;RandomForest.dbRecall;RandomForest.dbAccuracy;RandomForest.dbConfMatrix[0][0];RandomForest.dbConfMatrix[0][1];RandomForest.dbConfMatrix[1][0];RandomForest.dbConfMatrix[1][1];SMO.strClassifierName;SMO.lTimeForTraining;SMO.dbPrecision;SMO.dbRecall;SMO.dbAccuracy;SMO.dbConfMatrix[0][0];SMO.dbConfMatrix[0][1];SMO.dbConfMatrix[1][0];SMO.dbConfMatrix[1][1]
24/06/2018;Run:0- Fold:0;null;0;AttributeSelectedClassifier;0;0,8505146599041201;0,855;85,5;681,0;48,0;97,0;174,0;NaiveBayes;1;0,8285839159402424;0,8195;81,95;1241,0;217,0;144,0;398,0;RandomForest;2;0,8387012687878832;0,8353333333333334;83,53333333333333;1916,0;271,0;223,0;590,0;SMO;5;0,8444379639963122;0,843;84,3;2587,0;329,0;299,0;785,0
24/06/2018;Run:0- Fold:1;null;0;AttributeSelectedClassifier;0;0,8508791658908956;0,854;85,4;648,0;56,0;90,0;206,0;NaiveBayes;1;0,837523857442348;0,8285;82,85;1195,0;213,0;130,0;462,0;RandomForest;2;0,846011836216521;0,8423333333333334;84,23333333333333;1845,0;267,0;206,0;682,0;SMO;6;0,8526300965859095;0,85125;85,125;2501,0;315,0;280,0;904,0
24/06/2018;Run:0- Fold:2;null;0;AttributeSelectedClassifier;0;0,856251976284585;0,859;85,9;652,0;57,0;84,0;207,0;NaiveBayes;1;0,8330505245383626;0,8225;82,25;1195,0;223,0;132,0;450,0;RandomForest;2;0,8427024078332406;0,839;83,9;1856,0;271,0;212,0;661,0;SMO;6;0,8461647928258665;0,845;84,5;2512,0;324,0;296,0;868,0
24/06/2018;Run:0- Fold:3;null;0;AttributeSelectedClassifier;0;0,8438722600151172;0,849;84,9;682,0;49,0;102,0;167,0;NaiveBayes;1;0,8192784513174686;0,809;80,9;1232,0;230,0;152,0;386,0;RandomForest;2;0,8267808820103829;0,8226666666666667;82,26666666666667;1900,0;293,0;239,0;568,0;SMO;6;0,8327743508214096;0,831;83,1;2569,0;355,0;321,0;755,0
24/06/2018;Run:0- Fold:4;null;0;AttributeSelectedClassifier;0;0,8290823159482136;0,833;83,3;638,0;54,0;113,0;195,0;NaiveBayes;1;0,816015056998082;0,8125;81,25;1178,0;206,0;169,0;447,0;RandomForest;2;0,8233251838600675;0,8226666666666667;82,26666666666667;1804,0;272,0;260,0;664,0;SMO;6;0,8304828908335192;0,831;83,1;2437,0;331,0;345,0;887,0
24/06/2018;Run:0- Fold:5;null;0;AttributeSelectedClassifier;0;0,8619491698796128;0,864;86,4;636,0;56,0;80,0;228,0;NaiveBayes;1;0,837510714626488;0,8285;82,85;1169,0;215,0;128,0;488,0;RandomForest;2;0,8491835557376685;0,846;84,6;1816,0;260,0;202,0;722,0;SMO;5;0,8543589050202338;0,85325;85,325;2459,0;309,0;278,0;954,0
24/06/2018;Run:1- Fold:0;null;0;AttributeSelectedClassifier;0;0,8383212301587302;0,841;84,1;629,0;68,0;91,0;212,0;NaiveBayes;0;0,8194291329114133;0,8085;80,85;1155,0;239,0;144,0;462,0;RandomForest;1;0,8266669302179751;0,822;82,2;1788,0;303,0;231,0;678,0;SMO;5;0,831379420809397;0,829;82,9;2419,0;369,0;315,0;897,0
24/06/2018;Run:1- Fold:1;null;0;AttributeSelectedClassifier;0;0,8399793630927549;0,843;84,3;653,0;45,0;112,0;190,0;NaiveBayes;0;0,8272339834903937;0,823;82,3;1197,0;199,0;155,0;449,0;RandomForest;1;0,8353333333333334;0,8353333333333334;83,53333333333333;1847,0;247,0;247,0;659,0;SMO;4;0,8409797814028692;0,8425;84,25;2500,0;292,0;338,0;870,0
24/06/2018;Run:1- Fold:2;null;0;AttributeSelectedClassifier;0;0,8237424451410659;0,826;82,6;631,0;80,0;94,0;195,0;NaiveBayes;0;0,8066324743346135;0,793;79,3;1163,0;259,0;155,0;423,0;RandomForest;1;0,8180913594797368;0,812;81,2;1810,0;323,0;241,0;626,0;SMO;4;0,8239370246183009;0,82075;82,075;2454,0;390,0;327,0;829,0
24/06/2018;Run:1- Fold:3;null;0;AttributeSelectedClassifier;0;0,8580829441077034;0,86;86,0;649,0;62,0;78,0;211,0;NaiveBayes;0;0,8375380682529184;0,826;82,6;1199,0;223,0;125,0;453,0;RandomForest;1;0,846635906862745;0,8403333333333334;84,03333333333333;1847,0;286,0;193,0;674,0;SMO;5;0,852569166833894;0,8485;84,85;2497,0;347,0;259,0;897,0
24/06/2018;Run:1- Fold:4;null;0;AttributeSelectedClassifier;0;0,8646276702117989;0,868;86,8;683,0;43,0;89,0;185,0;NaiveBayes;0;0,8432996804463128;0,8365;83,65;1258,0;194,0;133,0;415,0;RandomForest;1;0,8505346157148235;0,8493333333333334;84,93333333333334;1942,0;236,0;216,0;606,0;SMO;4;0,8562236280697115;0,857;85,7;2628,0;276,0;296,0;800,0
24/06/2018;Run:1- Fold:5;null;0;AttributeSelectedClassifier;0;0,8459649122807018;0,85;85,0;662,0;52,0;98,0;188,0;NaiveBayes;0;0,8272020685613628;0,8185;81,85;1209,0;219,0;144,0;428,0;RandomForest;1;0,8408874051712225;0,8383333333333334;83,83333333333333;1879,0;263,0;222,0;636,0;SMO;5;0,8487122961086303;0,84775;84,775;2540,0;316,0;293,0;851,0
24/06/2018;Run:2- Fold:0;null;0;AttributeSelectedClassifier;0;0,838482188707877;0,843;84,3;665,0;61,0;96,0;178,0;NaiveBayes;0;0,8307214586255259;0,822;82,2;1238,0;214,0;142,0;406,0;RandomForest;1;0,8406773509514064;0,838;83,8;1915,0;263,0;223,0;599,0;SMO;4;0,8443597565857953;0,844;84,4;2588,0;316,0;308,0;788,0
24/06/2018;Run:2- Fold:1;null;0;AttributeSelectedClassifier;0;0,8558483505202744;0,858;85,8;660,0;63,0;79,0;198,0;NaiveBayes;0;0,8427223931623933;0,831;83,1;1229,0;217,0;121,0;433,0;RandomForest;1;0,8448236332923833;0,841;84,1;1902,0;267,0;210,0;621,0;SMO;4;0,8509182526632966;0,84925;84,925;2572,0;320,0;283,0;825,0
24/06/2018;Run:2- Fold:2;null;0;AttributeSelectedClassifier;0;0,8357965333295866;0,835;83,5;611,0;85,0;80,0;224,0;NaiveBayes;0;0,8196008340934069;0,8035;80,35;1131,0;261,0;132,0;476,0;RandomForest;1;0,8253066650901143;0,8183333333333334;81,83333333333333;1765,0;323,0;222,0;690,0;SMO;4;0,8301883677182437;0,82675;82,675;2400,0;384,0;309,0;907,0
24/06/2018;Run:2- Fold:3;null;0;AttributeSelectedClassifier;0;0,8454005211626943;0,849;84,9;656,0;49,0;102,0;193,0;NaiveBayes;0;0,8280965073529412;0,823;82,3;1208,0;202,0;152,0;438,0;RandomForest;1;0,836883638597757;0,8366666666666667;83,66666666666667;1868,0;247,0;243,0;642,0;SMO;4;0,8422222630310864;0,8435;84,35;2525,0;295,0;331,0;849,0
24/06/2018;Run:2- Fold:4;null;0;AttributeSelectedClassifier;0;0,8531724981649131;0,856;85,6;642,0;54,0;90,0;214,0;NaiveBayes;0;0,8272798563297808;0,8175;81,75;1165,0;227,0;138,0;470,0;RandomForest;1;0,8391655543316271;0,8353333333333334;83,53333333333333;1809,0;279,0;215,0;697,0;SMO;4;0,8447610705596106;0,843;84,3;2448,0;336,0;292,0;924,0
24/06/2018;Run:2- Fold:5;null;0;AttributeSelectedClassifier;0;0,8366572942408593;0,84;84,0;644,0;67,0;93,0;196,0;NaiveBayes;0;0,8176530945209409;0,806;80,6;1181,0;241,0;147,0;431,0;RandomForest;1;0,8257742803463122;0,8213333333333334;82,13333333333334;1833,0;300,0;236,0;631,0;SMO;4;0,832861460572781;0,83075;83,075;2483,0;361,0;316,0;840,0
