strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbServiceTime_UP;dbWaitingTime_UP;dbTransportTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbServiceTime_P;dbWaitingTime_P;dbTransportTime_P;dbTotalCosts_P;dbTraveledDistance_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
11/05/2018 19.45.01;11/05/2018;output/Batch10_100_d01/DS_100_10_0.xml;eafff333;10;31,951369774979927;31,85631995925733;24;100;0,09824600824884178;2;8,656;85;15;10;0,0;5285,722480700629;4849,0;16,344948854852873;420,37753184577684;1050,943829614443;420,37753184577724;98;0,09628108808386494;2;6,812;86;12;10;0,0;5292,030674099427;4894,0;0,8118647047833747;397,21880939464495;873,8813806682206;397,2188093946457;-1,8440000000000003;-0,21303142329020336;1,0;0,011764705882352941;0,8284693877551019;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.45.29;11/05/2018;output/Batch10_100_d01/DS_100_10_1.xml;cb8d5090;10;31,070356529168144;31,983216725489218;24;100;0,10063096150123904;2;6,92;82;18;10;0,0;5308,124517743124;4863,0;80,94266541909195;364,1818523240312;1019,7091865072861;364,18185232403073;95;0,0955994134261771;2;5,907;83;12;10;0,0;5296,552437743308;4830,0;20,97730889720242;445,5751288461037;980,2652834614269;445,5751288461031;-1,013;-0,1463872832369942;1,0;0,012195121951219513;0,7538947368421053;0,81;81,0;81,0;19,0;19,0
11/05/2018 19.45.55;11/05/2018;output/Batch10_100_d01/DS_100_10_10.xml;7f37e4f2;10;31,293536634329495;31,72742271902143;24;100;0,10071880339214877;2;6,907;87;13;10;0,0;5315,388168525412;4935,0;24,37021508450971;356,01795344090203;818,841292914075;356,01795344090215;96;0,09669005125646282;2;6,469;87;9;10;0,0;5412,158527680091;4962,0;46,009534261269096;404,14899341882176;767,8830874957616;404,1489934188219;-0,4379999999999997;-0,06341392789923263;0,0;0,0;0,7521875;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.46.21;11/05/2018;output/Batch10_100_d01/DS_100_10_11.xml;7597f1a8;10;31,962591706335104;31,81746387270159;24;100;0,09833145224157411;2;6,673;90;10;10;0,0;5308,028193859313;4872,0;50,8315966952689;385,1965971640457;770,3931943280934;385,1965971640467;100;0,09833145224157411;2;6,543;90;10;10;0,0;5306,467118258284;4875,0;23,626524006282352;407,8405942520017;815,6811885040042;407,84059425200206;-0,1299999999999999;-0,01948149258204704;0,0;0,0;0,7921;0,89;89,0;89,0;11,0;11,0
11/05/2018 19.46.48;11/05/2018;output/Batch10_100_d01/DS_100_10_12.xml;ebc9585c;10;31,092967994713607;31,853027503346464;24;100;0,10096877880343631;2;6,928;83;17;10;0,0;5160,503889979274;4746,0;14,118565729347665;400,38532424992724;1081,0403754748027;400,38532424992684;97;0,09793971543933322;2;6,346;83;14;10;0,0;5184,74104380474;4691,0;87,27033918900895;406,47070461573105;975,5296910777571;406,4707046157321;-0,5819999999999999;-0,0840069284064665;0,0;0,0;0,7634364261168385;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.47.15;11/05/2018;output/Batch10_100_d01/DS_100_10_13.xml;39021df5;10;31,451076125215984;31,75706403008925;24;100;0,10012076182591685;2;6,874;88;12;10;0,0;5274,228796834327;4852,0;8,666064975119411;413,5627318592077;909,838010090258;413,56273185920816;97;0,09711713897113934;2;6,236;89;8;10;0,0;5324,485685309829;4902,0;1,073019918475552;421,4126653913547;758,5427977044385;421,4126653913547;-0,6379999999999999;-0,0928135001454757;1,0;0,011363636363636364;0,8202061855670102;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.47.41;11/05/2018;output/Batch10_100_d01/DS_100_10_14.xml;182057c8;10;31,671749442348588;31,742769298062296;24;100;0,09946794241363441;2;6,815;79;21;10;0,0;5258,049576900752;4812,0;52,13065598098467;393,9189209197672;1221,148654851279;393,91892091976734;99;0,09847326298949806;2;6,683;79;20;10;0,0;5236,067042845401;4754,0;47,06225071275168;435,0047921326504;1305,0143763979513;435,00479213265044;-0,13200000000000056;-0,019369038884812995;0,0;0,0;0,8345454545454545;0,79;79,0;79,0;21,0;21,0
11/05/2018 19.48.08;11/05/2018;output/Batch10_100_d01/DS_100_10_15.xml;7fc416c8;10;31,390003479844776;31,57282537777907;24;100;0,10090093450779714;2;6,653;89;11;10;0,0;5317,039057138289;4825,0;39,87762594410765;452,16143119418086;949,5390055077802;452,16143119418103;100;0,10090093450779714;2;6,718;89;11;10;0,0;5340,337670850244;4882,0;8,723260436526402;449,61441041371734;944,1902618688061;449,61441041371717;0,06500000000000039;0,009770028558545077;0,0;0,0;0,7921;0,89;89,0;89,0;11,0;11,0
11/05/2018 19.48.36;11/05/2018;output/Batch10_100_d01/DS_100_10_16.xml;eaf9126b;10;31,98213886454318;31,77440638990915;24;100;0,09840452052059165;2;6,982;84;16;10;0,0;5131,8814029737405;4747,0;8,094473282345234;376,7869296913947;979,6460171976265;376,7869296913948;99;0,09742047531538572;2;6,537;84;15;10;0,0;5119,062491254957;4735,0;22,53438527599542;361,52810597896223;903,8202649474046;361,5281059789618;-0,4450000000000003;-0,06373531939272419;0,0;0,0;0,8658585858585859;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.49.03;11/05/2018;output/Batch10_100_d01/DS_100_10_17.xml;77294d44;10;31,225941576780915;31,943499280298802;24;100;0,10025405959863672;2;7,227;77;23;10;0,0;5175,992198533238;4782,0;36,73093346745196;357,26126506578623;1178,962174717095;357,26126506578635;100;0,10025405959863672;2;6,77;78;22;10;0,0;5172,655332665508;4755,0;23,94724618606375;393,70808647944347;1259,8658767342176;393,70808647944295;-0,45700000000000074;-0,06323509063235101;1,0;0,012987012987012988;0,6084;0,78;78,0;78,0;22,0;22,0
11/05/2018 19.49.31;11/05/2018;output/Batch10_100_d01/DS_100_10_18.xml;2cbcc4d5;10;31,978681660884526;31,17325840349233;24;100;0,100313005988675;2;6,6;83;17;10;0,0;5319,514568284159;4907,0;28,096410949792073;384,41815733436687;1037,929024802791;384,41815733436704;98;0,0983067458689015;2;6,328;82;16;10;0,0;5305,849997796844;4969,0;19,0558677903407;317,7941300065033;826,2647380169071;317,7941300065027;-0,27199999999999935;-0,04121212121212112;-1,0;-0,012048192771084338;0,7794897959183673;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.49.58;11/05/2018;output/Batch10_100_d01/DS_100_10_19.xml;bce58534;10;31,820475489841574;31,03575428347888;24;100;0,10125839288115268;2;7,006;86;14;10;0,0;5208,9206109851375;4802,0;0,0;406,9206109851368;976,6094663643287;406,920610985137;97;0,09822064109471809;2;6,444;85;12;10;0,0;5196,3196011475375;4785,0;22,968145522637315;388,3514556249007;854,3732023747812;388,35145562490055;-0,5620000000000003;-0,08021695689409082;-1,0;-0,011627906976744186;0,7773195876288659;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.50.24;11/05/2018;output/Batch10_100_d01/DS_100_10_2.xml;641d8b9a;10;31,737118332318776;31,37493134877286;24;100;0,10042682314883458;2;7,172;77;23;10;0,0;5153,993039777479;4809,0;9,021054064354416;335,97198571312276;1108,7075528533053;335,9719857131228;96;0,0964097502228812;2;6,407;77;19;10;0,0;5190,699653013198;4801,0;38,57448779923732;351,1251652139606;1018,2629791204877;351,1251652139613;-0,7649999999999997;-0,10666480758505294;0,0;0,0;0,8476041666666667;0,81;81,0;81,0;19,0;19,0
11/05/2018 19.50.51;11/05/2018;output/Batch10_100_d01/DS_100_10_20.xml;56cb0a3c;10;31,94605398072548;31,820989415289443;24;100;0,09837145606104684;2;6,874;85;15;10;0,0;5336,125454845052;4956,0;0,0;380,12545484505245;950,3136371126305;380,1254548450522;96;0,09443659781860497;2;6,055;86;10;10;0,0;5354,82075328606;5015,0;0,0;339,82075328605924;679,6415065721172;339,8207532860586;-0,819;-0,11914460285132383;1,0;0,011764705882352941;0,85625;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.51.16;11/05/2018;output/Batch10_100_d01/DS_100_10_21.xml;6bac0333;10;31,99354323720471;31,337530926909412;24;100;0,09974080848247577;2;6,796;84;16;10;0,0;5284,736426548221;4870,0;0,06923039538673947;414,667196152834;1078,1347099973705;414,6671961528348;94;0,09375635997352723;2;6,035;83;11;10;0,0;5247,35485842461;4860,0;15,743535621881051;371,6113228027292;780,3837778857325;371,6113228027297;-0,7610000000000001;-0,11197763390229548;-1,0;-0,011904761904761904;0,8394326241134753;0,86;86,0;86,0;14,0;14,0
11/05/2018 19.51.42;11/05/2018;output/Batch10_100_d01/DS_100_10_22.xml;8209fe2a;10;31,850867355682677;31,97927417106295;24;100;0,09817708521324996;2;7,17;82;18;10;0,0;5255,319752769239;4855,0;13,711684475194659;386,6080682940438;1082,502591223324;386,6080682940443;100;0,09817708521324996;2;6,755;83;17;10;0,0;5256,481050172875;4830,0;7,156357107708402;419,3246930651663;1132,1766712759475;419,3246930651657;-0,41500000000000004;-0,057880055788005584;1,0;0,012195121951219513;0,6889;0,83;83,0;83,0;17,0;17,0
11/05/2018 19.52.10;11/05/2018;output/Batch10_100_d01/DS_100_10_23.xml;4a042b2d;10;31,83108962241526;31,93542197073875;24;100;0,09837298181940857;2;6,898;82;18;10;0,0;5077,033473340562;4675,0;36,49974400262067;365,53372933794026;1023,4944421462328;365,53372933794026;95;0,09345433272843813;2;6,154;81;14;10;0,0;5029,374848966136;4700,0;9,889816157942619;319,4850328081933;766,7640787396645;319,4850328081935;-0,7439999999999998;-0,1078573499565091;-1,0;-0,012195121951219513;0,8341052631578947;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.52.36;11/05/2018;output/Batch10_100_d01/DS_100_10_24.xml;dcba830a;10;31,195230672424827;31,588746123062144;24;100;0,10147975526669115;2;6,949;86;14;10;0,0;5387,096196778224;4912,0;31,256844342293903;443,83935243593055;1065,2144458462335;443,8393524359306;99;0,10046495771402424;2;6,56;87;12;10;0,0;5373,708904339988;4922,0;31,438347728497888;420,2705566114912;924,5952245452798;420,27055661149086;-0,38900000000000023;-0,05597927759389844;1,0;0,011627906976744186;0,8945454545454545;0,88;88,0;88,0;12,0;12,0
11/05/2018 19.53.03;11/05/2018;output/Batch10_100_d01/DS_100_10_25.xml;5a79359;10;31,950808260849072;31,88089026680242;24;100;0,09817201623543381;2;6,97;87;13;10;0,0;5341,947959060997;4833,0;29,833776184730823;479,11418287626503;1101,9626206154076;479,1141828762642;98;0,09620857591072514;2;6,604;86;12;10;0,0;5291,686534942286;4836,0;35,93007563686149;419,7564593054246;923,464210471934;419,7564593054245;-0,36599999999999966;-0,05251076040172162;-1,0;-0,011494252873563218;0,7722448979591836;0,86;86,0;86,0;14,0;14,0
11/05/2018 19.53.30;11/05/2018;output/Batch10_100_d01/DS_100_10_26.xml;cc0e9a0;10;31,775070177354024;31,969894609960654;24;100;0,09844015231297039;2;7,004;84;16;10;0,0;5356,632447368927;4880,0;57,87954029264597;418,75290707628284;1088,7575583983362;418,7529070762831;96;0,09450254622045158;2;6,405;84;12;10;0,0;5343,81486925031;4934,0;17,42898618060616;392,38588306970405;863,2489427533486;392,38588306970394;-0,5989999999999993;-0,0855225585379782;0,0;0,0;0,84625;0,86;86,0;86,0;14,0;14,0
